Tenure,SatisfactionScore,Complain,OrderCount,HourSpendOnApp,NumberOfDeviceRegistered,NumberOfAddress,DaySinceLastOrder,Cashback,Churned
26,4,0,7,12.2,2,1,50,18.62,0
60,5,1,5,7.6,2,1,59,17.72,0
41,4,0,7,5.9,1,1,73,18.52,0
29,5,0,1,5.4,2,2,63,2.6,0
15,4,1,5,4.8,2,1,57,20.14,1
45,4,0,4,5.6,3,1,55,18.17,0
65,5,0,7,8.7,1,1,43,29.39,0
71,5,0,4,8.4,2,2,64,6.08,0
9,1,1,2,4.7,2,2,55,9.35,1
1,4,0,1,2.1,2,1,56,3.68,0
8,3,1,3,8.0,2,1,49,9.89,0
63,5,0,0,7.0,3,1,56,4.24,0
11,5,0,1,1.6,3,2,63,4.71,0
8,2,1,5,9.1,1,1,59,16.11,1
35,2,1,2,8.9,2,1,45,15.4,0
35,5,0,5,9.3,2,1,53,27.36,0
33,4,0,4,4.6,2,1,39,19.18,0
5,1,1,3,8.1,1,1,63,1.93,1
41,5,0,4,8.2,1,1,74,14.85,0
28,5,0,2,7.1,5,1,64,11.23,0
7,4,0,2,6.7,2,1,51,12.66,0
72,5,0,3,1.3,2,1,69,17.17,0
12,3,0,4,7.7,3,1,33,10.18,0
34,4,0,2,9.5,1,1,61,16.25,0
33,3,0,4,12.5,2,1,94,24.27,0
48,4,0,7,13.6,2,1,33,21.79,0
23,4,0,4,8.3,2,1,47,11.17,0
62,3,0,4,10.3,1,1,49,17.87,0
37,4,0,4,9.8,4,2,35,19.56,0
44,4,0,1,5.1,1,1,47,11.48,0
35,4,0,6,13.2,1,1,48,17.98,0
65,5,0,3,5.5,2,1,78,20.53,0
47,5,0,4,7.9,2,1,59,10.69,0
3,4,1,1,8.5,3,1,75,7.68,0
1,4,0,3,4.6,3,2,67,21.52,0
5,4,0,4,4.2,2,1,57,13.89,0
14,5,0,4,5.3,1,1,25,15.64,0
27,4,0,2,7.9,3,1,80,11.1,0
9,3,1,2,13.3,1,1,71,3.95,0
15,4,0,2,10.2,1,2,60,4.28,0
42,4,0,1,8.1,1,2,39,5.32,0
51,5,0,3,12.1,2,2,32,12.58,0
63,5,0,4,9.1,1,1,34,21.37,0
52,5,0,8,9.5,1,1,34,24.81,0
4,3,0,1,5.6,2,1,64,14.09,1
23,3,0,0,4.2,1,3,56,7.18,0
15,4,0,2,3.7,1,1,57,14.33,0
43,3,0,4,7.6,1,2,60,15.66,0
29,5,0,3,2.7,3,2,74,21.44,0
36,4,0,6,8.8,4,1,39,18.3,0
13,4,0,2,6.3,1,1,31,10.46,0
32,3,0,2,6.1,2,2,44,3.19,0
71,5,1,5,14.0,4,2,59,21.96,0
59,5,1,7,11.2,1,1,59,19.05,0
28,5,0,4,13.5,3,1,65,19.14,0
66,5,0,9,8.1,4,1,32,26.46,0
42,4,1,6,12.4,1,1,53,12.26,1
45,3,0,2,7.2,1,2,79,8.98,0
62,5,0,6,9.5,4,3,59,17.36,0
57,5,0,7,6.6,1,1,20,14.35,0
6,3,0,2,7.6,1,2,55,10.18,0
28,4,0,1,12.6,2,1,53,16.57,0
28,3,0,3,8.7,1,1,32,5.63,0
44,5,0,4,8.1,4,1,74,2.11,0
30,4,0,7,11.0,1,2,25,30.19,0
62,4,0,6,11.6,1,1,46,9.96,0
62,4,0,9,16.9,3,1,62,32.83,0
1,4,0,2,5.5,3,3,43,16.6,1
27,5,0,3,8.0,4,2,54,13.92,0
62,5,1,4,8.2,2,1,59,12.29,0
3,2,1,3,6.0,5,1,42,14.71,1
70,4,1,9,12.8,2,2,33,24.81,0
72,5,0,6,14.4,3,2,53,28.71,0
27,5,0,1,3.8,1,2,68,12.2,0
9,3,0,1,6.9,4,1,70,15.37,0
62,5,0,7,11.8,2,1,31,25.53,0
37,3,0,1,5.8,1,1,34,13.12,0
51,4,0,3,8.7,1,1,67,13.82,0
44,3,0,5,10.2,3,2,69,14.22,0
24,3,0,3,4.7,3,1,93,8.41,0
59,5,0,4,8.0,1,1,99,10.95,0
32,4,0,2,6.6,2,1,82,9.44,0
52,5,0,6,6.7,3,1,32,14.49,0
62,5,0,7,10.8,1,1,43,19.46,0
58,4,1,6,9.7,1,1,58,19.17,0
52,4,0,6,15.9,2,1,55,20.64,0
12,5,0,5,6.5,1,1,47,24.35,0
39,5,0,9,15.2,1,2,62,26.77,0
2,1,0,3,8.8,1,1,47,9.93,0
3,3,0,0,8.1,3,1,63,3.45,1
56,5,0,2,4.2,1,1,57,11.54,0
59,5,1,9,6.6,1,2,49,25.88,0
2,5,0,1,5.5,1,1,66,20.01,0
2,3,0,2,8.9,1,1,43,10.62,0
54,3,0,5,8.0,1,1,8,8.54,0
1,4,0,1,5.4,1,1,51,9.16,0
19,5,0,4,14.1,1,2,56,11.26,0
2,3,0,4,6.0,1,1,59,9.25,0
53,4,0,4,11.0,1,2,43,14.26,0
44,4,0,1,2.9,2,1,62,10.23,0
32,5,0,0,8.5,4,1,64,9.41,0
70,5,0,12,14.4,2,2,26,28.14,0
32,4,0,2,8.1,3,1,54,2.33,0
68,5,0,7,8.7,5,1,28,20.85,0
55,5,0,3,7.7,1,1,25,13.18,0
56,5,0,9,12.7,2,1,60,25.06,0
17,3,0,6,5.6,2,1,51,17.57,0
38,4,0,4,6.7,1,1,47,11.87,0
24,5,0,2,7.4,2,1,62,16.07,0
69,4,1,7,8.3,2,1,53,23.36,1
70,4,0,9,12.7,3,2,72,28.11,0
11,2,0,1,5.2,3,1,78,12.33,1
16,4,0,4,10.0,1,1,57,16.37,0
59,5,0,4,7.7,1,1,84,15.77,0
70,4,0,13,22.5,1,1,33,31.5,0
3,4,0,4,2.3,1,1,70,17.52,0
20,3,0,4,5.8,2,1,44,12.88,0
59,4,0,8,13.4,1,2,45,12.85,0
36,4,0,3,8.0,4,1,64,9.03,0
19,5,0,3,8.7,1,1,57,20.89,0
67,5,0,10,3.4,1,1,44,18.21,0
19,4,0,3,6.9,3,2,58,13.72,0
20,4,0,2,6.6,2,1,76,12.74,0
71,5,0,3,9.2,2,3,55,13.07,0
52,5,0,4,9.3,2,1,43,12.13,0
33,3,1,2,6.6,1,1,55,3.2,0
40,3,0,4,7.9,3,1,71,13.45,0
39,3,0,3,3.6,2,2,67,8.95,0
1,3,0,1,6.8,1,2,56,14.21,1
11,2,0,2,6.2,1,1,44,9.39,1
57,5,0,8,10.1,3,1,36,21.53,0
50,5,0,9,12.2,1,1,42,26.99,0
23,5,0,6,8.7,3,1,47,16.12,0
31,4,1,2,2.3,2,1,45,9.08,0
42,4,0,3,9.4,1,1,68,3.1,0
7,4,1,4,13.8,1,2,43,12.21,1
16,3,0,2,7.4,3,1,42,11.22,0
60,5,0,6,10.7,2,1,45,18.66,0
2,3,0,3,11.9,1,1,61,14.96,1
1,3,0,2,12.3,2,2,42,14.83,1
48,5,0,3,6.9,2,1,55,17.09,0
12,3,0,2,4.4,1,1,49,18.45,0
69,5,1,6,11.1,2,1,43,24.68,1
37,5,1,3,7.9,2,2,54,13.68,0
32,2,1,7,13.5,1,2,55,15.98,1
9,2,1,0,5.0,3,2,60,0.96,0
19,4,0,8,11.6,3,1,83,18.45,0
48,4,0,5,6.1,1,1,60,17.66,0
3,5,0,6,12.9,1,2,54,17.67,1
20,4,1,4,6.3,2,2,47,7.29,0
24,5,0,5,5.4,1,1,42,21.49,0
54,3,0,10,5.0,3,1,55,21.59,0
33,5,0,5,8.7,2,1,26,9.96,0
24,3,0,2,4.5,4,2,73,14.08,0
72,5,0,6,9.1,2,1,65,25.26,0
36,4,0,3,5.9,1,2,52,6.28,0
38,3,1,7,9.5,2,1,63,15.82,0
25,4,0,5,6.5,2,1,46,11.98,0
18,4,0,3,5.2,3,2,53,8.79,0
66,5,0,6,7.0,3,2,56,9.12,0
54,5,1,5,8.4,2,1,44,15.41,0
35,5,1,5,5.6,1,1,61,15.61,0
61,5,0,6,13.6,2,1,41,27.4,0
41,5,0,5,9.0,1,1,54,18.2,0
33,4,1,5,4.4,1,1,90,13.3,1
68,5,0,8,12.1,1,1,51,24.61,0
33,4,0,0,2.3,1,1,76,0.0,0
14,5,0,1,8.9,3,1,72,9.88,0
21,3,0,1,4.0,1,1,28,3.19,0
48,3,1,6,14.0,2,2,47,17.14,0
20,3,0,4,11.2,2,1,73,14.81,0
8,4,0,3,18.3,3,1,36,9.24,0
7,3,0,5,9.3,2,1,47,15.86,0
67,5,0,8,13.5,3,1,76,20.04,0
17,2,0,2,6.6,2,2,39,1.72,1
33,4,0,1,6.1,3,2,75,12.58,0
48,5,0,5,12.7,1,1,37,22.64,0
59,5,0,5,11.3,2,1,59,18.53,0
22,3,1,2,6.3,5,3,67,12.41,1
30,4,1,4,12.2,4,2,64,6.27,0
38,4,1,5,12.0,1,1,36,20.11,0
51,5,0,8,16.1,2,2,62,30.63,0
54,4,0,9,15.9,1,1,31,27.02,0
8,3,1,0,3.9,2,1,37,3.86,1
27,3,0,2,5.2,2,1,41,1.83,0
27,5,0,2,5.3,1,1,43,14.22,0
21,4,0,2,8.9,3,1,67,12.78,0
30,5,1,1,9.8,1,2,73,14.96,0
28,4,0,3,10.6,4,1,56,10.38,0
64,5,0,4,3.9,4,1,38,12.65,0
69,5,0,4,6.1,1,1,44,11.7,0
61,5,0,1,7.8,2,2,57,4.87,0
48,4,1,4,11.9,1,1,34,16.46,1
19,5,0,5,9.9,1,1,33,17.32,0
4,3,0,3,12.0,3,1,54,12.84,0
35,4,1,5,3.3,1,1,47,16.77,0
64,5,0,5,8.4,2,2,33,15.43,0
49,3,0,6,14.1,4,1,67,12.13,0
17,3,0,4,9.2,1,1,42,19.12,0
44,5,0,8,9.0,2,1,26,24.62,0
30,5,1,5,11.4,2,1,69,23.42,0
46,3,0,8,11.8,3,1,49,22.87,0
6,2,1,2,5.2,3,1,52,5.17,1
37,5,0,3,2.7,2,1,43,11.44,0
24,3,0,3,9.5,2,2,48,6.49,0
46,4,0,6,6.5,4,1,37,24.35,0
53,5,0,10,19.4,3,1,32,34.51,0
60,5,0,7,5.3,2,1,49,19.96,0
63,5,0,11,14.0,2,1,24,32.81,0
32,4,0,6,12.1,2,1,9,16.24,0
33,3,0,3,4.3,3,2,79,3.07,0
67,5,0,9,10.1,2,1,24,22.65,0
18,4,0,2,9.2,1,1,32,13.64,0
25,4,0,4,5.3,1,1,70,19.06,0
54,5,0,7,16.4,2,1,39,21.48,0
58,5,1,4,8.4,2,2,57,12.08,1
67,5,0,7,9.3,3,2,59,15.87,0
46,4,0,3,12.3,2,3,68,10.42,0
24,4,0,2,3.4,1,2,64,8.77,0
32,5,0,3,12.6,1,1,44,12.25,0
47,5,1,7,7.7,2,1,27,15.64,0
23,5,0,2,10.4,1,1,83,13.28,0
66,3,1,10,18.6,5,1,42,25.0,1
27,4,0,4,7.9,1,1,59,12.6,0
2,2,0,2,6.3,2,1,49,7.01,0
17,3,0,4,7.3,1,3,57,15.16,0
33,4,0,4,5.9,1,2,46,16.77,0
9,3,0,1,6.1,1,1,54,12.8,1
43,5,0,5,11.7,2,1,30,23.88,0
48,3,0,5,10.8,2,1,57,17.08,0
39,4,0,1,7.3,1,1,23,7.2,0
42,5,0,1,3.6,1,1,75,6.27,0
26,3,0,3,4.2,2,1,83,14.79,0
50,4,0,4,13.5,2,1,45,8.08,0
25,2,1,2,2.6,1,1,69,7.43,0
24,3,0,2,6.1,4,1,50,3.83,0
13,2,0,2,8.9,1,1,56,11.88,0
60,4,1,4,12.8,3,1,44,18.05,1
7,3,0,4,8.3,1,1,46,12.65,1
57,4,0,3,8.2,2,2,48,26.49,0
36,3,0,9,10.8,2,1,13,18.79,0
45,2,0,5,14.2,2,1,55,15.24,0
20,4,0,3,11.5,2,1,26,14.77,0
65,5,0,4,5.2,1,1,46,16.69,0
8,3,0,3,9.4,1,1,27,9.11,0
16,3,0,3,7.1,1,2,48,11.06,0
14,3,0,1,6.7,2,2,62,15.4,0
15,5,0,3,5.0,3,1,74,13.74,0
66,4,0,3,1.5,1,3,53,15.27,0
32,4,1,4,4.9,2,2,48,5.97,0
63,3,0,6,8.1,1,2,31,15.78,0
51,5,0,7,9.1,1,1,33,32.93,0
25,4,0,5,2.0,1,2,68,13.49,0
58,5,0,5,9.9,1,1,57,14.73,0
63,5,0,5,4.8,1,1,36,26.19,0
62,5,0,7,10.5,3,2,15,18.46,0
22,4,0,5,5.4,5,1,75,12.37,0
58,5,0,4,2.8,3,1,33,19.02,0
58,4,1,3,7.3,4,2,54,23.9,0
49,5,0,6,9.2,2,2,35,24.1,0
52,4,0,4,8.5,1,2,36,14.35,0
42,4,0,3,12.2,2,2,57,18.72,0
70,5,0,7,12.7,2,1,59,20.55,0
15,4,0,1,11.7,2,1,68,5.5,0
54,4,1,4,7.3,2,2,61,21.49,0
60,5,0,7,8.4,2,1,31,28.13,0
8,5,0,1,7.2,2,2,61,7.7,0
53,3,0,6,15.4,1,1,53,21.7,0
60,5,0,5,5.6,2,3,29,24.02,0
5,3,0,0,9.2,1,1,29,3.74,0
68,3,0,6,11.2,1,1,49,17.33,0
6,2,0,0,3.7,4,2,48,0.0,1
47,4,0,6,14.3,2,1,29,17.94,0
55,4,0,7,7.0,3,1,16,17.06,0
40,4,0,4,10.2,2,1,41,12.98,0
52,2,1,7,10.0,1,1,70,10.43,1
16,4,0,4,11.6,3,1,65,20.57,0
13,2,1,0,6.0,1,2,82,8.42,0
30,5,0,6,13.1,3,1,37,26.06,0
19,3,1,5,9.1,2,1,66,14.7,0
17,5,0,4,6.9,4,1,71,13.94,0
63,5,0,10,12.8,3,1,62,29.02,0
19,5,0,4,8.7,1,1,48,17.36,0
58,4,0,4,9.3,3,1,45,21.47,0
55,4,0,5,11.0,2,1,49,16.92,0
62,5,0,9,12.2,1,1,43,26.08,0
23,4,1,3,9.4,3,2,34,16.0,1
9,3,1,4,14.9,4,1,43,3.2,0
12,3,1,3,5.2,1,2,71,17.96,1
1,3,0,5,12.0,4,1,42,18.3,0
58,4,1,3,5.4,2,1,55,14.32,0
1,2,1,0,2.2,1,1,67,6.19,1
34,4,0,4,12.5,2,1,71,18.67,0
48,5,0,8,8.7,3,1,53,36.77,0
1,3,0,3,7.3,2,1,68,8.73,0
16,4,0,1,3.4,2,2,64,13.79,0
61,4,0,6,17.1,3,1,52,20.2,0
64,4,0,13,15.3,3,3,47,28.2,0
63,4,1,4,4.9,1,2,17,19.81,0
69,5,0,8,8.8,2,3,55,25.4,0
22,4,0,3,13.8,1,1,23,14.01,0
67,5,0,7,10.0,2,1,38,22.82,0
26,4,1,3,7.2,4,1,67,14.44,0
16,3,0,4,12.7,1,3,50,16.94,0
51,5,0,1,9.6,2,1,57,7.53,0
57,5,1,8,8.8,4,1,48,23.36,0
29,4,0,4,5.8,3,1,80,19.49,0
69,4,0,7,8.9,1,1,13,15.35,0
47,3,0,7,9.6,2,1,35,24.03,0
62,5,0,3,9.9,5,1,75,13.75,0
69,5,1,5,8.7,2,2,46,23.01,0
16,2,1,5,8.1,2,1,47,15.95,1
48,4,1,3,7.4,2,1,64,10.06,0
39,4,1,4,6.5,2,1,33,12.05,0
33,4,0,2,11.3,2,1,69,6.82,0
23,3,0,5,6.9,1,1,45,8.99,0
10,2,1,3,7.5,2,1,52,9.85,0
69,4,0,10,14.9,4,2,28,27.25,0
34,5,0,3,9.4,4,1,62,16.91,0
52,3,0,0,3.8,2,1,55,3.4,0
10,4,0,3,10.7,2,2,58,15.27,0
19,4,1,0,11.4,1,1,54,11.84,0
58,5,0,9,17.6,1,1,41,35.23,0
1,5,0,1,0.5,3,1,50,5.43,1
69,5,1,6,9.6,1,2,43,26.35,0
4,5,1,1,3.8,1,1,45,11.77,0
16,3,0,5,10.7,2,2,35,16.41,0
24,3,1,2,9.8,2,1,82,7.14,1
2,4,0,2,3.2,2,1,59,16.39,1
32,4,0,6,12.4,2,1,17,19.92,0
24,5,1,7,10.5,2,1,44,15.77,0
12,4,0,4,7.4,1,1,67,5.91,0
50,4,0,3,9.0,5,1,29,12.83,0
35,2,1,7,10.2,3,1,54,19.99,0
33,4,0,3,10.8,2,2,53,9.21,0
33,4,1,2,5.4,2,1,29,8.78,1
61,5,0,9,16.2,1,1,32,31.25,0
51,5,0,3,7.3,2,2,51,12.42,0
43,5,0,5,1.9,2,1,31,20.5,0
12,3,1,2,4.2,1,1,44,6.43,0
67,4,0,4,7.9,2,1,55,20.26,0
65,4,0,4,9.3,2,1,56,16.17,0
33,3,0,2,6.3,5,2,62,9.66,0
40,4,0,4,6.1,1,1,42,21.44,0
43,5,0,6,15.1,2,1,64,12.87,0
44,4,0,6,14.0,1,1,46,21.8,0
29,4,1,4,4.6,1,1,45,6.89,0
13,4,0,4,5.7,3,1,48,15.25,0
12,4,0,3,8.4,2,1,59,13.05,0
46,3,0,3,6.9,2,1,58,13.03,0
2,4,0,1,0.5,2,1,51,0.19,0
35,5,0,0,2.8,3,2,74,9.5,0
8,4,0,3,9.6,3,2,51,18.92,0
26,1,1,4,8.5,3,1,62,7.25,1
34,5,0,3,4.6,1,1,74,10.94,0
7,3,0,2,4.9,3,1,48,6.7,0
68,5,0,6,9.1,1,1,42,24.46,0
58,5,0,6,17.5,1,1,31,16.26,0
29,2,0,4,8.3,1,3,38,9.93,0
36,2,1,5,6.8,2,2,60,17.8,1
21,5,1,1,11.2,1,1,68,6.17,0
36,5,0,2,8.3,1,1,28,17.09,0
10,5,0,4,5.8,2,2,37,13.47,0
24,4,1,7,10.7,2,1,67,20.04,0
64,5,0,6,9.2,2,1,35,24.56,0
49,4,1,5,10.6,2,1,46,20.9,0
36,4,0,2,2.8,4,1,57,8.65,0
24,3,0,5,5.4,3,2,52,10.67,0
23,4,0,4,7.4,1,1,30,21.73,0
62,4,1,10,10.4,4,2,42,25.54,0
37,3,0,0,8.1,1,1,16,7.28,0
12,4,0,3,4.3,2,2,44,16.11,0
55,4,0,4,15.4,3,1,47,10.97,0
13,1,1,3,6.9,2,2,29,1.5,1
23,4,0,1,6.2,3,2,68,11.55,0
30,3,0,6,10.9,4,1,34,9.96,0
17,4,0,1,5.6,4,1,83,3.58,0
62,5,0,7,14.1,2,3,52,25.29,0
13,4,0,4,8.6,5,1,48,16.43,0
59,5,0,6,8.2,1,1,59,21.7,0
19,3,0,3,3.3,2,2,29,8.46,0
49,4,0,7,11.8,3,1,49,26.59,0
12,4,1,3,10.1,5,2,35,7.86,0
61,5,0,5,5.2,1,1,62,7.82,0
19,5,0,4,7.1,4,1,45,7.26,0
9,2,1,1,8.7,5,1,26,5.9,1
71,4,0,6,7.2,4,2,27,18.04,0
28,5,0,2,4.0,1,1,56,15.33,0
52,4,0,9,11.7,3,2,47,27.34,0
16,4,0,4,12.1,2,1,28,13.88,0
69,5,1,8,14.2,1,2,16,16.78,0
12,3,1,4,12.1,5,1,45,9.82,0
25,4,0,3,4.4,1,1,78,9.69,0
52,3,0,2,4.6,1,1,48,16.59,0
53,4,1,5,8.5,1,1,53,15.52,0
23,4,0,4,7.3,1,1,12,19.14,0
16,4,0,6,7.5,2,2,88,19.05,0
57,5,0,8,12.8,4,2,27,23.14,0
39,5,0,3,2.5,5,1,55,11.17,0
53,5,0,6,10.2,2,1,20,22.11,0
42,5,1,7,15.6,2,1,52,16.44,0
58,5,1,9,12.4,1,2,33,25.35,0
39,5,0,1,3.3,2,1,61,10.05,0
14,4,1,6,6.0,4,1,43,19.0,0
5,5,0,2,7.7,1,1,63,7.32,0
35,4,0,7,15.8,1,1,62,18.08,0
18,3,0,5,9.6,3,1,29,16.07,0
9,5,0,6,8.8,2,1,73,20.63,0
58,5,0,6,7.5,1,3,37,25.78,0
17,5,0,2,2.2,3,2,63,10.49,0
7,4,1,2,7.4,1,2,43,4.12,0
46,2,0,5,4.2,3,1,52,10.68,0
13,4,1,5,11.7,2,3,44,10.77,0
40,5,0,6,11.7,3,2,78,27.39,0
42,5,0,3,6.8,2,1,42,17.53,0
9,3,0,4,10.1,1,2,76,14.3,1
50,3,1,7,11.1,2,2,31,20.49,1
27,5,0,5,10.9,1,2,74,17.13,0
66,5,0,4,10.9,1,2,67,8.7,0
5,4,0,4,7.4,2,2,46,11.83,0
29,2,1,4,4.3,1,2,49,0.0,1
37,5,0,5,15.8,2,1,52,20.98,0
38,4,0,6,9.2,2,3,48,18.69,0
8,3,0,6,8.5,1,2,54,16.89,0
65,5,1,7,11.9,1,1,48,17.92,1
17,4,0,3,6.8,4,1,39,11.51,0
71,5,1,7,6.8,1,1,38,24.52,0
45,3,1,4,4.6,2,2,56,14.48,1
4,3,0,1,3.1,1,1,42,1.04,0
36,4,0,4,9.3,1,1,44,10.54,0
70,5,0,8,9.3,2,1,52,26.83,0
31,1,1,3,10.2,3,3,58,6.17,0
19,4,0,6,9.3,2,2,44,27.05,0
61,5,0,7,10.4,2,1,61,16.68,0
54,3,0,7,10.8,2,1,61,17.54,0
39,5,0,1,2.7,2,2,49,7.63,0
19,4,0,4,12.0,2,1,62,12.92,0
39,4,0,2,7.5,1,1,43,5.09,0
67,4,1,5,8.5,2,2,54,6.77,0
45,5,0,4,6.6,1,1,56,18.35,0
13,4,0,3,5.8,2,1,54,19.46,0
58,5,1,6,6.3,2,3,44,17.19,0
20,3,0,4,4.2,4,1,53,13.94,0
72,5,0,8,7.4,2,1,44,22.67,0
61,4,0,5,12.2,2,1,16,15.13,0
39,3,1,4,5.9,2,2,73,9.44,0
1,2,0,0,1.8,2,1,69,6.48,1
3,3,1,3,11.3,1,1,47,11.75,1
62,5,1,5,9.2,1,1,64,14.2,0
63,5,0,5,5.5,2,1,42,21.39,0
25,4,0,4,9.9,3,2,12,21.15,0
56,5,0,7,15.0,2,2,51,27.38,0
33,4,0,3,9.4,2,2,30,11.25,0
38,2,1,4,8.6,1,1,32,6.78,1
6,3,0,2,8.0,3,1,40,4.17,0
58,3,0,3,11.0,4,2,55,8.11,0
44,5,1,2,11.8,1,1,58,9.45,1
45,5,0,7,7.7,3,1,62,25.85,0
32,3,0,9,12.3,1,1,24,13.15,0
45,5,0,4,10.0,4,2,41,15.19,0
61,5,0,6,10.3,2,2,67,16.92,0
47,5,1,7,12.2,1,1,54,17.89,1
21,4,0,5,15.6,1,3,55,18.59,0
36,3,0,8,10.6,2,2,43,17.18,0
19,4,0,4,4.0,2,1,58,13.31,0
20,3,0,6,15.4,2,1,48,20.82,0
57,5,0,5,14.3,2,1,51,16.06,0
18,3,0,4,9.8,2,2,59,18.75,0
47,5,1,6,8.3,3,1,34,15.5,0
49,5,1,9,14.8,4,1,45,11.21,0
14,3,0,1,5.9,1,3,29,8.98,0
15,2,0,2,5.7,2,1,56,8.56,0
31,3,0,1,3.8,1,1,50,11.6,0
1,4,0,2,6.6,2,2,68,12.15,0
54,5,0,3,9.0,3,1,33,20.99,0
3,2,1,2,7.1,2,1,59,8.56,1
16,2,1,5,11.7,1,1,59,18.1,0
57,5,0,4,7.5,3,2,63,19.7,0
12,2,1,1,4.5,1,1,48,2.07,1
16,3,0,2,7.8,3,1,51,6.25,0
72,5,0,1,6.1,1,1,64,8.29,0
24,5,0,2,11.1,1,1,39,22.29,0
28,3,0,2,5.6,1,1,49,5.68,0
8,3,1,2,5.1,3,1,43,10.61,1
36,4,0,3,6.9,4,1,27,12.53,0
8,3,1,7,9.4,2,1,68,19.66,1
58,5,0,6,7.9,2,2,48,19.79,0
60,5,0,6,4.9,2,2,32,17.67,0
50,4,0,2,3.1,2,1,21,4.38,0
28,2,1,2,6.2,4,1,61,2.33,1
41,5,1,4,4.3,4,1,29,19.23,0
64,5,0,8,13.1,3,2,34,25.85,0
27,3,0,6,10.9,2,3,47,17.55,0
63,5,0,5,7.0,1,2,31,26.52,0
17,5,0,4,8.0,1,1,77,27.75,0
33,5,0,3,6.8,2,1,39,8.79,0
29,4,0,5,3.6,1,1,31,23.06,0
13,3,1,4,9.5,1,1,55,6.5,1
46,5,0,7,8.8,2,1,41,19.31,0
35,4,0,2,3.7,2,1,85,10.82,0
6,3,0,4,10.2,2,2,73,16.71,0
69,5,1,9,12.9,1,2,65,19.19,0
47,5,1,8,14.1,2,1,52,23.9,0
25,4,0,2,6.2,2,2,66,10.59,0
66,5,0,5,9.6,4,2,44,10.19,0
10,4,0,0,7.4,1,1,70,8.19,1
